,index,price,year,manufacturer,model,nummodel,cylinders,numcylinders,odometer,title_status,numtitle_status,transmission,numtransmission,drive,numdrive,size,numsize,type,numtype,paint_color,numpaint_color,state,numstate
0,0,19900,2004,ford,f250 super duty,1132,8 cylinders,2,88000.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,blue,1,al,1
1,1,14000,2012,honda,odyssey,1540,6 cylinders,1,95000.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,silver,9,al,1
2,2,21250,2002,ford,thunderbird,2046,8 cylinders,2,15996.0,clean,0,automatic,0,fwd,1,compact,0,convertible,1,yellow,11,al,1
3,3,4000,2002,toyota,echo,675,4 cylinders,0,155000.0,clean,0,automatic,0,fwd,1,compact,0,sedan,6,blue,1,al,1
4,4,3000,2004,chevrolet,blazer,212,6 cylinders,1,131500.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,white,10,al,1
5,5,2500,2008,honda,accord,63,6 cylinders,1,204561.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,al,1
6,6,1200,2005,chevrolet,impala,1403,4 cylinders,0,256806.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,blue,1,al,1
7,7,17000,2019,chevrolet,trax,2145,4 cylinders,0,14898.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,grey,5,al,1
8,8,8900,2013,toyota,prius,1604,4 cylinders,0,142900.0,clean,0,automatic,0,fwd,1,mid-size,2,wagon,8,blue,1,al,1
9,9,4000,2002,toyota,camry,262,4 cylinders,0,160000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
10,10,10800,2013,toyota,camry,262,4 cylinders,0,147000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,al,1
11,11,1500,2005,toyota,solara,1867,4 cylinders,0,222100.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,al,1
12,12,9500,2014,toyota,prius v hybrid,1651,4 cylinders,0,136128.0,clean,0,automatic,0,fwd,1,mid-size,2,hatchback,3,white,10,al,1
13,13,3200,2006,chevrolet,trailblazer,2059,6 cylinders,1,178762.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,grey,5,al,1
14,14,24888,2019,ford,f150 regular cab xl,1062,6 cylinders,1,8176.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
15,15,16888,2008,toyota,fj cruiser 4x4,1223,6 cylinders,1,188096.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,yellow,11,al,1
16,16,11500,2008,ford,f-250 super duty xl,1014,8 cylinders,2,283356.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
17,17,14700,2015,honda,cr-v ex-l,494,4 cylinders,0,70672.0,salvage,5,automatic,0,4wd,0,compact,0,SUV,0,brown,2,al,1
18,18,6900,2008,ford,escape hev,774,4 cylinders,0,103550.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,white,10,al,1
19,19,10900,2010,honda,accord crosstour exl,81,6 cylinders,1,97804.0,clean,0,automatic,0,fwd,1,full-size,1,wagon,8,grey,5,al,1
20,20,16888,2008,toyota,fj cruiser 4x4,1223,6 cylinders,1,188096.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,yellow,11,al,1
21,21,16888,2008,toyota,fj cruiser 4x4,1223,6 cylinders,1,188096.0,clean,0,automatic,0,4wd,0,mid-size,2,SUV,0,yellow,11,al,1
22,22,8500,2011,toyota,camry,262,4 cylinders,0,114500.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,blue,1,al,1
23,23,4500,2005,toyota,camry xle,303,4 cylinders,0,170000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
24,24,24888,2019,ford,f150 regular cab xl,1062,6 cylinders,1,8176.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
25,25,11500,2013,chevrolet,express,911,8 cylinders,2,228699.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
26,26,9500,2014,ford,transit connect,2090,4 cylinders,0,219581.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
27,27,17200,2014,ford,transit connect,2090,4 cylinders,0,45026.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
28,28,23900,2017,ford,transit 150,2078,6 cylinders,1,108482.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
29,29,22300,2017,ford,transit 150,2078,6 cylinders,1,113617.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
30,30,26900,2019,ford,f150 regular cab xl,1062,6 cylinders,1,8176.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
31,31,4000,2014,chevrolet,sonic lt,1877,4 cylinders,0,135000.0,clean,0,manual,1,fwd,1,compact,0,sedan,6,silver,9,al,1
32,32,2595,2003,ford,f-150,951,8 cylinders,2,149055.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,red,8,al,1
33,33,20000,2010,toyota,4runner limited,40,6 cylinders,1,113750.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,silver,9,al,1
34,34,10750,2006,toyota,tacoma,1947,6 cylinders,1,223160.0,clean,0,automatic,0,rwd,2,mid-size,2,pickup,5,red,8,al,1
35,35,21790,2016,chevrolet,silverado 1500 lt,1809,6 cylinders,1,100662.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
36,36,19900,2014,toyota,4runner 4wd,37,6 cylinders,1,231000.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,silver,9,al,1
37,37,18990,2010,ford,econoline cargo van,679,8 cylinders,2,32988.0,clean,0,automatic,0,rwd,2,mid-size,2,van,7,white,10,al,1
38,38,13900,2013,honda,cr-v lx,505,4 cylinders,0,86933.0,clean,0,automatic,0,fwd,1,full-size,1,SUV,0,blue,1,al,1
39,39,11700,2007,chevrolet,silverado classic,1842,8 cylinders,2,155000.0,clean,0,automatic,0,4wd,0,full-size,1,pickup,5,black,0,al,1
40,40,6500,2003,chevrolet,tahoe z71,2014,8 cylinders,2,245700.0,clean,0,automatic,0,4wd,0,full-size,1,SUV,0,silver,9,al,1
41,41,20900,2016,toyota,avalon,182,6 cylinders,1,100318.0,clean,0,automatic,0,rwd,2,full-size,1,sedan,6,silver,9,al,1
42,42,6599,2010,toyota,sienna xle,1790,6 cylinders,1,174000.0,clean,0,automatic,0,fwd,1,full-size,1,mini-van,4,brown,2,al,1
43,43,4000,2002,toyota,camry,262,4 cylinders,0,160000.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
44,44,5600,2008,toyota,camry,262,4 cylinders,0,133244.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,al,1
45,45,21900,2011,chevrolet,camaro 2ss,241,8 cylinders,2,93096.0,clean,0,automatic,0,rwd,2,full-size,1,convertible,1,blue,1,al,1
46,46,7950,2007,chevrolet,tahoe lt,2000,8 cylinders,2,208000.0,clean,0,automatic,0,rwd,2,full-size,1,SUV,0,grey,5,al,1
47,47,3500,2003,honda,accord,63,4 cylinders,0,201580.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,grey,5,al,1
48,48,16900,2014,ford,transit connect,2090,4 cylinders,0,35173.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
49,49,9500,2014,ford,transit connect,2090,4 cylinders,0,219581.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
50,50,19900,2004,chevrolet,ssr,1896,8 cylinders,2,72333.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,silver,9,al,1
51,51,6950,2002,ford,f350 super duty,1161,8 cylinders,2,240000.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,white,10,al,1
52,52,4795,2001,chevrolet,silverado,1797,8 cylinders,2,141005.0,clean,0,automatic,0,rwd,2,full-size,1,pickup,5,black,0,al,1
53,53,6950,2008,honda,civic exl,366,4 cylinders,0,135000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,silver,9,al,1
54,54,5950,2008,honda,accord,63,4 cylinders,0,190000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,grey,5,al,1
55,55,6350,2013,toyota,corolla le,443,4 cylinders,0,184000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,silver,9,al,1
56,56,4800,2010,chevrolet,malibu ls,1458,4 cylinders,0,155071.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,white,10,al,1
57,57,17990,2018,ford,edge sel,713,6 cylinders,1,101000.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,blue,1,al,1
58,58,5800,2012,ford,escape,768,4 cylinders,0,160000.0,clean,0,automatic,0,fwd,1,mid-size,2,SUV,0,silver,9,al,1
59,59,4500,2006,honda,civic,342,4 cylinders,0,170000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,white,10,al,1
60,60,4200,2007,honda,odyssey,1540,6 cylinders,1,195000.0,clean,0,automatic,0,fwd,1,mid-size,2,mini-van,4,green,4,al,1
61,61,5500,2008,ford,focus,1237,6 cylinders,1,115000.0,clean,0,automatic,0,fwd,1,mid-size,2,sedan,6,green,4,al,1
62,62,9800,2007,chevrolet,tahoe,1986,6 cylinders,1,220780.0,clean,0,automatic,0,fwd,1,full-size,1,sedan,6,silver,9,al,1
63,63,5500,2007,toyota,yaris,2219,4 cylinders,0,51000.0,clean,0,manual,1,fwd,1,compact,0,hatchback,3,blue,1,al,1
64,64,20300,2017,ford,transit 150,2078,6 cylinders,1,141625.0,clean,0,automatic,0,rwd,2,full-size,1,van,7,white,10,al,1
65,65,9500,2014,ford,transit connect,2090,4 cylinders,0,219581.0,clean,0,automatic,0,fwd,1,full-size,1,van,7,white,10,al,1
66,66,17900,2011,chevrolet,camaro ss,251,8 cylinders,2,133847.0,clean,0,manual,1,rwd,2,full-size,1,coupe,2,white,10,al,1
