,Country,first_seq,num_seqs,last_seq,variant
0,China,2019-10-22,3,2020-06-03,S.Q677
1,USA,2020-03-03,26022,2021-11-19,S.Q677
2,Brazil,2020-03-09,1553,2021-11-12,S.Q677
3,Australia,2020-03-20,88,2021-11-14,S.Q677
4,Sweden,2020-03-20,810,2021-11-19,S.Q677
5,Spain,2020-03-20,1033,2021-11-21,S.Q677
6,United Kingdom,2020-03-26,6718,2021-11-24,S.Q677
7,Germany,2020-03-27,3560,2021-11-18,S.Q677
8,Mexico,2020-03-28,278,2021-11-08,S.Q677
9,Canada,2020-04-01,2380,2021-10-29,S.Q677
10,India,2020-04-06,1601,2021-11-03,S.Q677
11,Indonesia,2020-04-09,106,2021-10-24,S.Q677
12,Romania,2020-04-11,44,2021-11-03,S.Q677
13,Madagascar,2020-04-13,14,2021-03-29,S.Q677
14,Japan,2020-04-17,778,2021-10-14,S.Q677
15,Italy,2020-04-21,1718,2021-11-22,S.Q677
16,Egypt,2020-04-26,368,2021-09-04,S.Q677
17,Austria,2020-04-26,354,2021-11-05,S.Q677
18,Qatar,2020-05-08,55,2021-09-15,S.Q677
19,Guinea-Bissau,2020-05-13,2,2021-01-29,S.Q677
20,Kenya,2020-05-17,66,2021-10-01,S.Q677
21,Bangladesh,2020-05-17,41,2021-09-26,S.Q677
22,South Africa,2020-05-28,165,2021-10-20,S.Q677
23,Malaysia,2020-05-29,57,2021-11-03,S.Q677
24,Guinea,2020-06-02,26,2021-07-16,S.Q677
25,South Korea,2020-06-08,24,2021-10-09,S.Q677
26,Senegal,2020-06-09,119,2021-10-25,S.Q677
27,North Macedonia,2020-06-11,105,2021-04-26,S.Q677
28,Saudi Arabia,2020-06-13,9,2021-09-06,S.Q677
29,Belgium,2020-06-18,974,2021-11-26,S.Q677
30,United Arab Emirates,2020-06-25,46,2021-02-07,S.Q677
31,Colombia,2020-06-26,33,2021-10-21,S.Q677
32,Hong Kong,2020-07-04,15,2021-10-07,S.Q677
33,Laos,2020-07-05,3,2020-07-10,S.Q677
34,Singapore,2020-07-27,39,2021-05-29,S.Q677
35,Iceland,2020-08-03,13,2021-08-22,S.Q677
36,Pakistan,2020-08-10,15,2021-07-06,S.Q677
37,France,2020-08-13,4214,2021-11-18,S.Q677
38,Netherlands,2020-08-16,677,2021-11-14,S.Q677
39,Denmark,2020-08-17,1922,2021-11-22,S.Q677
40,Russia,2020-08-18,46,2021-10-31,S.Q677
41,Peru,2020-08-21,110,2021-10-22,S.Q677
42,Chile,2020-08-21,211,2021-11-13,S.Q677
43,Switzerland,2020-08-25,1546,2021-11-23,S.Q677
44,New Zealand,2020-08-30,9,2021-08-31,S.Q677
45,Rwanda,2020-09-09,7,2021-01-30,S.Q677
46,Philippines,2020-09-18,131,2021-08-30,S.Q677
47,Burkina Faso,2020-09-21,23,2021-04-23,S.Q677
48,Jordan,2020-10-08,18,2021-11-17,S.Q677
49,Oman,2020-10-12,8,2021-07-06,S.Q677
50,Uzbekistan,2020-10-14,3,2020-12-07,S.Q677
51,Greece,2020-10-19,48,2021-11-02,S.Q677
52,Argentina,2020-10-19,32,2021-09-18,S.Q677
53,Czech Republic,2020-10-23,101,2021-11-03,S.Q677
54,Uganda,2020-10-29,43,2021-06-01,S.Q677
55,Slovenia,2020-10-31,179,2021-10-16,S.Q677
56,Poland,2020-11-09,113,2021-11-17,S.Q677
57,Luxembourg,2020-11-12,522,2021-11-13,S.Q677
58,Portugal,2020-11-12,152,2021-11-15,S.Q677
59,Mozambique,2020-11-25,5,2021-07-02,S.Q677
60,Iran,2020-11-25,3,2021-02-01,S.Q677
61,Norway,2020-11-29,666,2021-11-03,S.Q677
62,Palestine,2020-11-29,6,2021-02-06,S.Q677
63,Uruguay,2020-12-02,305,2021-04-26,S.Q677
64,Nigeria,2020-12-03,443,2021-09-17,S.Q677
65,Lithuania,2020-12-03,165,2021-11-03,S.Q677
66,Angola,2020-12-07,19,2021-07-18,S.Q677
67,Israel,2020-12-07,297,2021-11-21,S.Q677
68,Bolivia,2020-12-08,2,2021-02-20,S.Q677
69,Republic of the Congo,2020-12-10,32,2021-10-25,S.Q677
70,Bosnia and Herzegovina,2020-12-17,6,2021-10-12,S.Q677
71,Bulgaria,2020-12-17,35,2021-09-30,S.Q677
72,Serbia,2020-12-18,5,2021-10-04,S.Q677
73,French Polynesia,2020-12-18,1,2020-12-18,S.Q677
74,Panama,2020-12-20,2,2021-04-01,S.Q677
75,Zimbabwe,2020-12-21,1,2020-12-21,S.Q677
